
Processing printEntranceMomentumTest.C++...
EventNtuple v06_03_00
There are 15985 to go over. Printing momenta from trkseg and trksegmc and their differences.
Track Seg Momentum: 102.123   TrackMC Seg Momentum: 102.324  Resolution: -0.201096
Track Seg Momentum: 103.477   TrackMC Seg Momentum: 103.641  Resolution: -0.163948
Track Seg Momentum: 104.916   TrackMC Seg Momentum: 104.87  Resolution: 0.0462036
Track Seg Momentum: 104.705   TrackMC Seg Momentum: 104.71  Resolution: -0.00572968
Track Seg Momentum: 102.706   TrackMC Seg Momentum: 103.01  Resolution: -0.304031
Track Seg Momentum: 103.88   TrackMC Seg Momentum: 104.175  Resolution: -0.29557
Track Seg Momentum: 95.6253   TrackMC Seg Momentum: 103.844  Resolution: -8.21907
Track Seg Momentum: 104.579   TrackMC Seg Momentum: 104.607  Resolution: -0.0280685
Track Seg Momentum: 103.921   TrackMC Seg Momentum: 104.334  Resolution: -0.412994
Track Seg Momentum: 103.947   TrackMC Seg Momentum: 104.05  Resolution: -0.103539
Track Seg Momentum: 103.04   TrackMC Seg Momentum: 104.385  Resolution: -1.34489
Track Seg Momentum: 96.9526   TrackMC Seg Momentum: 97.7064  Resolution: -0.753792
Track Seg Momentum: 103.773   TrackMC Seg Momentum: 103.796  Resolution: -0.0232315
